Destinasi,Rule_Score,Content_Score,Hybrid_Score,Rank_Rule,Rank_Hybrid,Delta_Rank,Movement,Rule_Contribution,Content_Contribution,Rank,Recommendation_Score,Recommendation_Label
The World Landmark Merapi Park,0.23076923076923067,1.0,0.5384615384615384,257,43,214,Naik,0.13846153846153839,0.4,43,53.85,Alternatif
Satoloka,0.23076923076923067,1.0,0.5384615384615384,257,43,214,Naik,0.13846153846153839,0.4,44,53.85,Alternatif
Bendungan Kamijoro,0.23076923076923067,1.0,0.5384615384615384,257,43,214,Naik,0.13846153846153839,0.4,45,53.85,Alternatif
Sindu Kusuma Edupark,0.19230769230769235,1.0,0.5153846153846154,281,46,235,Naik,0.1153846153846154,0.4,46,51.54,Alternatif
Balong Waterpark,0.19230769230769235,1.0,0.5153846153846154,281,46,235,Naik,0.1153846153846154,0.4,47,51.54,Alternatif
Etalase Taman Batu Geopark Gunung Sewu,0.19230769230769235,1.0,0.5153846153846154,281,46,235,Naik,0.1153846153846154,0.4,48,51.54,Alternatif
Omah Salak,0.19230769230769235,1.0,0.5153846153846154,281,46,235,Naik,0.1153846153846154,0.4,49,51.54,Alternatif
Waterbyur ,0.19230769230769235,1.0,0.5153846153846154,281,46,235,Naik,0.1153846153846154,0.4,50,51.54,Alternatif
Agro wisata Turi,0.15384615384615366,1.0,0.4923076923076922,297,51,246,Naik,0.09230769230769219,0.4,51,49.23,Alternatif
Teras Kaca,0.15384615384615366,1.0,0.4923076923076922,297,51,246,Naik,0.09230769230769219,0.4,52,49.23,Alternatif
Kolam Renang Tirto Tamansari,0.15384615384615366,1.0,0.4923076923076922,297,51,246,Naik,0.09230769230769219,0.4,53,49.23,Alternatif
Embung Kleco,0.15384615384615366,1.0,0.4923076923076922,297,51,246,Naik,0.09230769230769219,0.4,54,49.23,Alternatif
He Ha Ocean View,0.11538461538461534,1.0,0.46923076923076923,309,55,254,Naik,0.06923076923076919,0.4,55,46.92,Alternatif
Bunga Chrysant,0.0,1.0,0.4,315,56,259,Naik,0.0,0.4,56,40.0,Alternatif
Museum Batik,0.5,0.0,0.3,1,57,-56,Turun,0.3,0.0,57,30.0,Alternatif
Museum Serat Holistik Kehidupan Susilawati Susmoni,0.4615384615384617,0.0,0.276923076923077,2,58,-56,Turun,0.276923076923077,0.0,58,27.69,Alternatif
Gua Maria Tritis,0.4615384615384617,0.0,0.276923076923077,2,58,-56,Turun,0.276923076923077,0.0,59,27.69,Alternatif
Museum Andi Bayou ,0.4615384615384617,0.0,0.276923076923077,2,58,-56,Turun,0.276923076923077,0.0,60,27.69,Alternatif
Diorama Arsip Jogja ,0.4615384615384617,0.0,0.276923076923077,2,58,-56,Turun,0.276923076923077,0.0,61,27.69,Alternatif
Museum Paleoantropologi,0.4615384615384617,0.0,0.276923076923077,2,58,-56,Turun,0.276923076923077,0.0,62,27.69,Alternatif
Museum Laboratorium Sejarah UPY,0.4615384615384617,0.0,0.276923076923077,2,58,-56,Turun,0.276923076923077,0.0,63,27.69,Alternatif
Museum Muhammadiyah ,0.4615384615384617,0.0,0.276923076923077,2,58,-56,Turun,0.276923076923077,0.0,64,27.69,Alternatif
Museum Kotagede Intro Living Museum,0.423076923076923,0.0,0.2538461538461538,9,65,-56,Turun,0.2538461538461538,0.0,65,25.38,Alternatif
Candi ijo,0.423076923076923,0.0,0.2538461538461538,9,65,-56,Turun,0.2538461538461538,0.0,66,25.38,Alternatif
Museum Pergerakan Wanita Indonesia,0.423076923076923,0.0,0.2538461538461538,9,65,-56,Turun,0.2538461538461538,0.0,67,25.38,Alternatif
Gua Maria Sendangsono ,0.423076923076923,0.0,0.2538461538461538,9,65,-56,Turun,0.2538461538461538,0.0,68,25.38,Alternatif
Rumah Sandi Negara,0.423076923076923,0.0,0.2538461538461538,9,65,-56,Turun,0.2538461538461538,0.0,69,25.38,Alternatif
Makam Ki Ageng Giring Sukodono,0.423076923076923,0.0,0.2538461538461538,9,65,-56,Turun,0.2538461538461538,0.0,70,25.38,Alternatif
Petilasan Kembang Lampir,0.423076923076923,0.0,0.2538461538461538,9,65,-56,Turun,0.2538461538461538,0.0,71,25.38,Alternatif
Makam Raja-Raja Imogiri,0.423076923076923,0.0,0.2538461538461538,9,65,-56,Turun,0.2538461538461538,0.0,72,25.38,Alternatif
Eks. Pengepul Nila Bulurejo,0.423076923076923,0.0,0.2538461538461538,9,65,-56,Turun,0.2538461538461538,0.0,73,25.38,Alternatif
