Destinasi,Rule_Score,Content_Score,Hybrid_Score,Rank_Rule,Rank_Content,Rank_Hybrid,Delta_Rank
Pantai Glagah,0.0,0.0,0.0,1,57,57,-56
Pantai Buron,0.0,0.0,0.0,1,57,57,-56
Museum Gerabah Kasongan,0.0,0.0,0.0,1,57,57,-56
Monumen Museum Pangeran Diponegoro,0.0,0.0,0.0,1,57,57,-56
Makam Ki Ageng Giring Sukodono,0.0,0.0,0.0,1,57,57,-56
Pantai Pandansimo,0.0,0.0,0.0,1,57,57,-56
Potrobayan,0.0,0.0,0.0,1,57,57,-56
Gua Tanding,0.0,0.0,0.0,1,57,57,-56
Candi Gebang,0.0,0.0,0.0,1,57,57,-56
Mahaloka Paradise ,0.0,0.0,0.0,1,57,57,-56
Museum Biologi,0.0,0.0,0.0,1,57,57,-56
Gua Cerme,0.0,0.0,0.0,1,57,57,-56
Mangrove Jembatan api- Api,0.0,0.0,0.0,1,57,57,-56
Gedung Agung,0.0,0.0,0.0,1,57,57,-56
Gardu Pandang Kaliurang,0.0,0.0,0.0,1,57,57,-56
Museum Jendral Sudirman,0.0,0.0,0.0,1,57,57,-56
Kampung Jelok,0.0,0.0,0.0,1,57,57,-56
Pantai Bidara,0.0,0.0,0.0,1,57,57,-56
Kalisuci Cave Tubing,0.0,0.0,0.0,1,57,57,-56
Candi ijo,0.0,0.0,0.0,1,57,57,-56
Museum Paleoantropologi,0.0,0.0,0.0,1,57,57,-56
Museum Bantul Masa Belanda,0.0,0.0,0.0,1,57,57,-56
Kraton,0.0,0.0,0.0,1,57,57,-56
Gua Pindul,0.0,0.0,0.0,1,57,57,-56
Candi Prambanan,0.0,0.0,0.0,1,57,57,-56
Batu Alien ,0.0,0.0,0.0,1,57,57,-56
Wisata Alam Kali Gowang ,0.0,0.0,0.0,1,57,57,-56
Gua Sriti ,0.0,0.0,0.0,1,57,57,-56
Gua Permoni,0.0,0.0,0.0,1,57,57,-56
Gunung Gamping,0.0,0.0,0.0,1,57,57,-56
Pantai Bugel Kulon Progo,0.0,0.0,0.0,1,57,57,-56
Arus Progo Rafting ,0.0,0.0,0.0,1,57,57,-56
Museum Terbuka Vulcano Park Bakalan,0.0,0.0,0.0,1,57,57,-56
Museum Gempa Prof. Dr. Sarwidi,0.0,0.0,0.0,1,57,57,-56
Museum Dewantara Kirti Griya,0.0,0.0,0.0,1,57,57,-56
Situs Candi Pelembutan,0.0,0.0,0.0,1,57,57,-56
Situs Candi Risan,0.0,0.0,0.0,1,57,57,-56
Watu Giring,0.0,0.0,0.0,1,57,57,-56
Gua Tapan,0.0,0.0,0.0,1,57,57,-56
Makam Raja-Raja Mataram Kotagede ,0.0,0.0,0.0,1,57,57,-56
Gua Jomblang,0.0,0.0,0.0,1,57,57,-56
Museum Mini Sisa Hartaku,0.0,0.0,0.0,1,57,57,-56
Pantai Kwaru,0.0,0.0,0.0,1,57,57,-56
Museum Tani Jawa Indonesia,0.0,0.0,0.0,1,57,57,-56
Laguna Pantai Trisik dan Pantai Trisik,0.0,0.0,0.0,1,57,57,-56
Gua Rencang Kencono,0.0,0.0,0.0,1,57,57,-56
Kawasan Konservasi Mangrove Baros,0.0,0.0,0.0,1,57,57,-56
Gua Pari,0.0,0.0,0.0,1,57,57,-56
