kernel,params,cv_f1_mean,cv_f1_std,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro
linear,C=10,0.749578214857376,0.010240970997448456,0.83234369542438,0.7598624789101377,0.7524395573832369,0.7696099001106598
rbf,"C=100, γ=scale",0.7501993448035719,0.01739281935835663,0.8522528815927349,0.7513703610575252,0.8205741905834983,0.7255172104043952
