Metric,Mean,Std,Min,Max
F1-macro,0.749578214857376,0.010240970997448456,0.7334621166876777,0.761445133573742
Accuracy,0.8201893111263173,0.008794854629239016,0.8100436681222707,0.8323876036665212
Precision-macro,0.7428914666462247,0.011722779998298932,0.7289174484476715,0.7587715144346993
Recall-macro,0.7599419145826051,0.011129385238735672,0.7393156196608905,0.7713630302987351
