title,rata2_bintang,std_bintang,jumlah_ulasan,rasio_positif,rasio_netral,rasio_negatif,confidence_avg,skor_rekomendasi
Gunung Gajah,4.666666666666667,0.8056815791722832,39,0.5897435897435898,0.1794871794871795,0.23076923076923078,0.8709928921129464,0.7615384615384615
Taman Tebing Breksi,4.658536585365853,0.9383431168171101,41,0.5853658536585366,0.07317073170731707,0.34146341463414637,0.8988388421121664,0.7585365853658537
Pantai Mbuluk,4.739130434782608,0.740670878584835,69,0.5652173913043478,0.043478260869565216,0.391304347826087,0.8849933602271883,0.7565217391304347
Puncak Sosok,4.854166666666667,0.6184945116918241,48,0.5416666666666666,0.125,0.3333333333333333,0.8855330486179768,0.7562500000000001
Sesar Opak Bukit Mengger,4.622641509433962,0.6857453859835134,53,0.5849056603773585,0.11320754716981132,0.3018867924528302,0.9033210078294618,0.7547169811320755
Museum Gumuk Pasir Parangtritis Geomaritim Science Park,4.783333333333333,0.8252717408997376,60,0.55,0.11666666666666667,0.3333333333333333,0.8588693952600188,0.7533333333333334
"AloeLand,Rasane Vera,Aloe Station's ""Pabrik Olahan Aloevera & Wisata Edukasi Aloevera""",4.894736842105263,0.4505635568895831,57,0.5263157894736842,0.14035087719298245,0.3333333333333333,0.8609271874500264,0.7526315789473683
Pantai Buron,4.622222222222222,0.6497862896539311,45,0.5777777777777777,0.08888888888888889,0.3333333333333333,0.865215136197921,0.7511111111111111
Wisata Bojong Asri,4.87719298245614,0.38126553544911884,57,0.5263157894736842,0.10526315789473684,0.3684210526315789,0.8753819221493462,0.7508771929824561
Turgo Plawangan ,5.0,0.0,2,0.5,0.0,0.5,0.9348476731586408,0.75
Kawasan Gua Cerme,5.0,0.0,2,0.5,0.0,0.5,0.9779063055659014,0.75
Air Terjun Yohnan,5.0,0.0,4,0.5,0.25,0.25,0.8649506180506342,0.75
Bukit Mintorogo,4.475,1.0374401434695166,40,0.6,0.1,0.3,0.8674192287628886,0.7474999999999999
HeHa Ocean View,4.555555555555555,1.124489103259335,72,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.8963165817468224,0.7472222222222222
Museum Memorial Jendral Besar HM Soeharto,4.684210526315789,0.7390740429532642,38,0.5526315789473685,0.13157894736842105,0.3157894736842105,0.8636309556430612,0.7447368421052631
Embung Jlamprong,4.468085106382978,0.7178186712348444,47,0.5957446808510638,0.10638297872340426,0.2978723404255319,0.8744285267351105,0.7446808510638298
Museum Wayang Beber Sekartaji,4.916666666666667,0.34722813233740846,48,0.5,0.125,0.375,0.8400923356363023,0.7416666666666667
EMBUNG TONOGORO (ꦲꦼꦩ꧀ꦧꦸꦁꦠꦤꦒꦫ) - DESA BANJAROYO - KALIBAWANG,4.5476190476190474,0.5927357389374331,42,0.5714285714285714,0.023809523809523808,0.40476190476190477,0.8990865481357494,0.7404761904761905
Wisata Bukit Watugede,4.4,0.9403246919632544,20,0.6,0.1,0.3,0.8843853322628862,0.74
Lembah Sorory,4.6875,0.6890094647776556,48,0.5416666666666666,0.14583333333333334,0.3125,0.8697625669952015,0.7395833333333333
Waduk Sermo,4.73469387755102,0.729597783144979,49,0.5306122448979592,0.12244897959183673,0.3469387755102041,0.8750714343513717,0.7387755102040816
Pantai Jungwok,4.746031746031746,0.5670595908906716,63,0.5238095238095238,0.031746031746031744,0.4444444444444444,0.8999993668604855,0.7365079365079366
