param_C,mean_test_score,std_test_score,rank_test_score
10.0,0.7542479060855287,0.007476556586984404,1
100.0,0.751519614088041,0.006655171362291503,2
1.0,0.7342910236102922,0.00905918834047606,3
0.1,0.6225533766514266,0.007087404163641667,4
0.01,0.518099793511521,0.11654415565329004,5
